Informercado;Planilha;Colunas;Referencia Antiga;Mapeado
Dados Gerais;ACL_EOL;MES_REFERENCIA;019 Eólicas;NÃO
Dados Gerais;ACL_EOL;GERACAO_ACL_EOL;019 Eólicas;NÃO
Dados Gerais;ACL_EOL;CAPACIDADE_INSTALADA_TOTAL_ACL_EOL;019 Eólicas;NÃO
Dados Gerais;ACL_EOL;GARANTIA_FISICA_ACL_EOL;019 Eólicas;NÃO
Dados Gerais;AGENTE_QTD_CONTABILIZACAO;MES_REFERENCIA;Demais Dados;NÃO
Dados Gerais;AGENTE_QTD_CONTABILIZACAO;CLASSE;Demais Dados;NÃO
Dados Gerais;AGENTE_QTD_CONTABILIZACAO;QUANTIDADE_AGENTE_CONTABILIZACAO;Demais Dados;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;MES_REFERENCIA;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;EXPOSICAO_FINANCEIRA_POSITIVA;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;EXPOSICAO_FINANCEIRA_NEGATIVA;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;TOTAL_PENALIDADE_EF_NEGATIVA;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;TOTAL_RECURSO_DISP_ALIVIO_EF_CCEAR;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;COBERTURA_EXPOSICAO_NEGATIVA_CCEAR;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;TOTAL_EXPOSICAO_NEGATIVA_REM_CCEAR;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;TOTAL_RECURSO_DISP_RATEIO_COMPR_CCEAR;012 InfoDistribuidoras;NÃO
Dados Gerais;BIOMASSA_ACL;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_ACL;GERACAO_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_ACL;CAPACIDADE_INSTALADA_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_ACL;GARANTIA_FISICA_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_FONTE_GERACAO;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_FONTE_GERACAO;FONTE_SECUNDARIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_FONTE_GERACAO;GERACAO_BIO;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GERACAO_ACR_ACL_MODALIDADE;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GERACAO_ACR_ACL_MODALIDADE;MODALIDADE_ENERGIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GERACAO_ACR_ACL_MODALIDADE;GERACAO_TOTAL;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GERACAO_ACR_ACL_MODALIDADE;GERACAO_ACR;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GERACAO_ACR_ACL_MODALIDADE;GERACAO_ACL;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GF_DEFINIDA;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GF_DEFINIDA;GERACAO_BIO;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GF_DEFINIDA;CAPACIDADE_INSTALADA_BIO;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GF_DEFINIDA;GARANTIA_FISICA_BIO;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GF_DEFINIDA;QUANTIDADE_UG_OP;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_LEILAO;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_LEILAO;LEILAO;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_LEILAO;GERACAO_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_LEILAO;CAPACIDADE_INSTALADA_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_LEILAO;GARANTIA_FISICA_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_PROINFA;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_PROINFA;GERACAO_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_PROINFA;CAPACIDADE_INSTALADA_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_SUBMERCADO_UF;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_SUBMERCADO_UF;SUBMERCADO;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_SUBMERCADO_UF;ESTADO;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_SUBMERCADO_UF;GERACAO_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_SUBMERCADO_UF;CAPACIDADE_INSTALADA_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_SUBMERCADO_UF;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_SUBMERCADO_UF;SUBMERCADO;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_SUBMERCADO_UF;ESTADO;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_SUBMERCADO_UF;GERACAO_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_SUBMERCADO_UF;CAPACIDADE_INSTALADA_BIOMASSA;020 Biomassa;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;COMPETENCIA;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;BENEFICIARIO;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;TIPO_BENEFICIARIO;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;GERACAO;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;CTCOMB;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;CTGP;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;CTCE;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;CTG;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;DESC_ACR;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;DESC_FC;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;REEMBOLSO;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;REPROCESSAMENTO;#N/D;NÃO
Contas Setoriais;CCC_CTG_BENEFICIARIO;ULTIMO_REPROCESSAMENTO;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;COMPETENCIA;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;BENEFICIARIO;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;CEG;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;USINA;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;TIPO_CUSTO;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;TIPO_CONTRATO;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;ORIGEM;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;TIPO_COMBUSTIVEL;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;MUNICIPIO;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;UF;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;SISTEMA;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;POT_OUTORGADA;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;CAPACIDADE_INSTALADA;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;COMBUSTIVEL;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;GERACAO;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;CTCOMB;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;CTGP;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;CTCE;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA;CTG;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;COMPETENCIA;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;BENEFICIARIO;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;FORNECEDOR;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;CEG;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;USINA;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;GERACAO;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;RECEITA_VARIAVEL;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;RECEITA_FIXA;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;AJUSTE_PENALIDADE;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;RECEITA_VENDA;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;TRIBUTOS;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;CUSTO_LIQUIDO;#N/D;NÃO
Contas Setoriais;CCC_CTG_USINA_CCESI;CUSTO_TOTAL;#N/D;NÃO
Dados Gerais;CCEAR_BALANCO_ENERGETICO_MENSAL;MES_REFERENCIA;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_BALANCO_ENERGETICO_MENSAL;BALANCO_ENERGETICO_PRODUTO_P;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_BALANCO_ENERGETICO_MENSAL;BALANCO_ENERGETICO_PRODUTO_N;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_BALANCO_ENERGETICO_MENSAL;GERACAO_DESTINADA_ATEND_PRODUTO;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_BALANCO_ENERGETICO_MENSAL;ENERGIA_ATENDIMENTO_DESC_ATR_SUSP;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_BALANCO_ENERGETICO_MENSAL;OBRIGACAO_ENTREGA_CCEAR_D;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_BALANCO_ENERGETICO_MENSAL;MONTANTE_MODULADO_CONTRATO;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_RESULTADO_MENSAL;MES_REFERENCIA;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_RESULTADO_MENSAL;RESULTADO_FINAL_COMPRADOR_CCEAR;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_RESULTADO_MENSAL;EFEITO_MCP_PRODUTO;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_RESULTADO_MENSAL;ENCARGO_CONST_ON;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_RESULTADO_MENSAL;ENCARGO_CONST_OFF;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_RESULTADO_MENSAL;ENCARGO_SEG_ENER;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_RESULTADO_MENSAL;ENCARGO_DIF_CVU;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEAR_RESULTADO_MENSAL;TOTAL_ENCARGO_PRODUTO;013 CCEAR Disponibilidade;NÃO
Dados Gerais;CCEN_BALANCO_ENERGETICO_MENSAL;MES_REFERENCIA;015 CCEN;NÃO
Dados Gerais;CCEN_BALANCO_ENERGETICO_MENSAL;GERACAO_FINAL_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_BALANCO_ENERGETICO_MENSAL;CONSUMO_GERACAO_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_BALANCO_ENERGETICO_MENSAL;MONTANTE_MODULADO_CONTRATO_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_BALANCO_ENERGETICO_MENSAL;BALANCO_ENERGETICO_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_CUSTO_CAFT;MES_REFERENCIA;015 CCEN;NÃO
Dados Gerais;CCEN_CUSTO_CAFT;CUSTO_ADM_FINAN_TRIBUT_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_RESULTADO_MENSAL;MES_REFERENCIA;015 CCEN;NÃO
Dados Gerais;CCEN_RESULTADO_MENSAL;RESULTADO_FINAL_COTISTA_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_RESULTADO_MENSAL;RESULTADO_FINAL_ANGRA_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_RESULTADO_MENSAL;EFEITO_CONTRATO_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_RESULTADO_MENSAL;RESULTADO_PRELIMINAR_AJ_EF_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_RESULTADO_MENSAL;RESULTADO_PRELIMINAR_COTISTA_MCP_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_RESULTADO_MENSAL;RESULTADO_FINAL_RATEIO_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_VALOR_LIQUIDAR;MES_REFERENCIA;015 CCEN;NÃO
Dados Gerais;CCEN_VALOR_LIQUIDAR;VALOR_RECEITA_FIXA_TOTAL_CCEN;015 CCEN;NÃO
Dados Gerais;CCEN_VALOR_LIQUIDAR;RECEITA_VENDA_MENSAL_CCEN;015 CCEN;NÃO
Dados Gerais;CCGF_BALANCO_ENERGETICO_MENSAL;MES_REFERENCIA;014 CCGF;NÃO
Dados Gerais;CCGF_BALANCO_ENERGETICO_MENSAL;GERACAO_TOTAL_DISP_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_BALANCO_ENERGETICO_MENSAL;CONSUMO_USINA_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_BALANCO_ENERGETICO_MENSAL;MONTANTE_MODULADO_CONTRATO_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_BALANCO_ENERGETICO_MENSAL;BALANCO_ENERGETICO_PRODUTO_P_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_BALANCO_ENERGETICO_MENSAL;BALANCO_ENERGETICO_PRODUTO_N_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_CONT_SAZONALIZADO;DATA_ATUALIZACAO;016 CCIT;NÃO
Dados Gerais;CCGF_CONT_SAZONALIZADO;MES_REFERENCIA;016 CCIT;NÃO
Dados Gerais;CCGF_CONT_SAZONALIZADO;QUANTIDADE_SAZONALIZADA_CCGF;016 CCIT;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;MES_REFERENCIA;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;RESULTADO_FINAL_COTISTA_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;RESULTADO_FINAL_USINA_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;EFEITO_CONTRATACAO_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;RESULTADO_PRELIMINAR_COTISTA_MRE;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;EFEITO_MCP_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;RESULTADO_PRELIMINAR_COTISTA_AJ_EF;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;RESULTADO_PRELIMINAR_COTISTA_CS;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;PAGAMENTO_ENCARGO_SE_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;RECEITA_FIXA_TOTAL_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;CUSTO_ADM_FINAN_TRIBUT_CCGF;014 CCGF;NÃO
Dados Gerais;CCGF_RESULTADO_MENSAL;RECEITA_VENDA_MENSAL_CCGF;014 CCGF;NÃO
Dados Gerais;CONSUMO_CLASSE_AGENTE;MES_REFERENCIA;003 Consumo;NÃO
Dados Gerais;CONSUMO_CLASSE_AGENTE;CLASSE_AGENTE;003 Consumo;NÃO
Dados Gerais;CONSUMO_CLASSE_AGENTE;CONSUMO;003 Consumo;NÃO
Dados Gerais;CONSUMO_CLASSE_AGENTE;CONSUMO_PONTO_CONEXAO_CLASSE_ACR;003 Consumo;NÃO
Dados Gerais;CONSUMO_CLASSE_AGENTE;CONSUMO_PONTO_CONEXAO_CLASSE_ACL;003 Consumo;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;PERIODO_COMERCIALIZACAO;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CODIGO_CARGA;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;NOME_CARGA;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;DATA_MIGRACAO;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CODIGO_PERFIL_AGENTE;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;SIGLA_PERFIL_AGENTE;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CLASSE_PERFIL_AGENTE;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;NOME_EMPRESARIAL;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CNPJ_CARGA;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CIDADE_CARGA;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;ESTADO_CARGA;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;SUBMERCADO;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CODIGO_PERFIL_AGENTE_DISTRIBUIDORA;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;SIGLA_PERFIL_AGENTE_DISTRIBUIDORA;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CAPACIDADE_CARGA;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CONSUMO_CARGA_ACL;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CONSUMO_CARGA_AJUSTADO_ACL;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CONSUMO_CARGA_AJUSTADO;0;NÃO
Dados horários de consumo;CONSUMO_HORARIO_PERFIL_AGENTE;CONSUMO_CARGA_PONTO_CONEXAO;0;NÃO
Dados Gerais;CONSUMO_HORARIO_SUBMERCADO;SUBMERCADO;003 Consumo;NÃO
Dados Gerais;CONSUMO_HORARIO_SUBMERCADO;MES_REFERENCIA;003 Consumo;NÃO
Dados Gerais;CONSUMO_HORARIO_SUBMERCADO;PERIODO_COMERCIALIZACAO;003 Consumo;NÃO
Dados Gerais;CONSUMO_HORARIO_SUBMERCADO;CONSUMO_RECONCILIADO;003 Consumo;NÃO
Dados Gerais;CONSUMO_HORARIO_SUBMERCADO;CONSUMO_GERACAO;003 Consumo;NÃO
Dados Gerais;CONSUMO_MENSAL_AMBIENTE_COMERCIALIZACAO;MES_REFERENCIA;003 Consumo;NÃO
Dados Gerais;CONSUMO_MENSAL_AMBIENTE_COMERCIALIZACAO;CONSUMO_TOTAL_ACR;003 Consumo;NÃO
Dados Gerais;CONSUMO_MENSAL_AMBIENTE_COMERCIALIZACAO;CONSUMO_TOTAL_ACL;003 Consumo;NÃO
Dados Individuais;CONSUMO_MENSAL_PERFIL_AGENTE;MES_REFERENCIA;003 Consumo;NÃO
Dados Individuais;CONSUMO_MENSAL_PERFIL_AGENTE;COD_AGENTE;003 Consumo;NÃO
Dados Individuais;CONSUMO_MENSAL_PERFIL_AGENTE;NOME_EMPRESARIAL;003 Consumo;NÃO
Dados Individuais;CONSUMO_MENSAL_PERFIL_AGENTE;COD_PERF_AGENTE;003 Consumo;NÃO
Dados Individuais;CONSUMO_MENSAL_PERFIL_AGENTE;SIGLA_PERFIL_AGENTE;003 Consumo;NÃO
Dados Individuais;CONSUMO_MENSAL_PERFIL_AGENTE;CNPJ;003 Consumo;NÃO
Dados Individuais;CONSUMO_MENSAL_PERFIL_AGENTE;VALOR_TRC;003 Consumo;NÃO
Dados Individuais;CONSUMO_MENSAL_PERFIL_AGENTE;VALOR_TGGC;003 Consumo;NÃO
Dados Gerais;CONSUMO_RAMO_ATIVIDADE;MES_REFERENCIA;003 Consumo;NÃO
Dados Gerais;CONSUMO_RAMO_ATIVIDADE;RAMO_ATIVIDADE;003 Consumo;NÃO
Dados Gerais;CONSUMO_RAMO_ATIVIDADE;CONSUMO_CL_ESP_ACL;003 Consumo;NÃO
Dados Gerais;CONSUMO_RAMO_ATIVIDADE;CONSUMO_AUTOP_ACL;003 Consumo;NÃO
Dados Gerais;CONSUMO_RAMO_ATIVIDADE;CONSUMO_PONTO_CONEXAO_CL_ESP_ACL;003 Consumo;NÃO
Dados Gerais;CONSUMO_RAMO_ATIVIDADE;CONSUMO_PONTO_CONEXAO_AUTOP_ACL;003 Consumo;NÃO
Dados Individuais;CONTABILIZACAO_FATOR_AJUSTE_FINANCEIRO;MES_REFERENCIA;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_FATOR_AJUSTE_FINANCEIRO;FATOR_AJUSTE_FINANCEIRO;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;MES_REFERENCIA;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;COD_AGENTE;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;NOME_EMPRESARIAL;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;COD_PERF_AGENTE;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;SIGLA_PERFIL_AGENTE;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;CNPJ;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;VALOR_TM_MCP;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;COMPENSACAO_MRE;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;VALOR_ENCARGO;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;VALOR_AJUSTE_EXPOSICAO;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;VALOR_AJUSTE_ALIVIO_RET;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;EFEITO_CONTRAT_DISP;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;EFEITO_CONTRAT_COTA_GF;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;EFEITO_CONTRAT_NUCLEAR;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;AJUSTE_RECONTAB;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;AJUSTE_MCSD_EX;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;RESULTADO_FINANCEIRO_ER;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;EFEITO_CCEARQ;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;EFEITO_CONTRAT_ITAIPU;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;EFEITO_REPASSE_RISCO_HIDRO;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;EFEITO_DESLOC_PLD_CMO;004 Contabilização;NÃO
Dados Individuais;CONTABILIZACAO_MONTANTE_PERFIL_AGENTE;RESULTADO_FINAL;004 Contabilização;NÃO
Dados Gerais;CONTRATO_MONTANTE_CLASSE;MES_REFERENCIA;005 Contratos;NÃO
Dados Gerais;CONTRATO_MONTANTE_CLASSE;TIPO_CONTRATO;005 Contratos;NÃO
Dados Gerais;CONTRATO_MONTANTE_CLASSE;CLASSE_VENDEDORA;005 Contratos;NÃO
Dados Gerais;CONTRATO_MONTANTE_CLASSE;CLASSE_COMPRADORA;005 Contratos;NÃO
Dados Gerais;CONTRATO_MONTANTE_CLASSE;QUANTIDADE_CONTRATO_RELACAO_CLASSE;005 Contratos;NÃO
Dados Gerais;CONTRATO_MONTANTE_CLASSE;MONTANTE_MODULADO_CONTRATO;005 Contratos;NÃO
